vnf_type_max,sfc_vnf_num,multiple_sfc_num,per_sfc_vnf_num,expected_tasks_per_type,seed,HEFT,DHEFT,NHEFT,time_sec
12,120,4,30,10,9808,4289.443000000001,430.6155,79.47739884999999,2.370560884475708
12,120,4,30,10,5407,4264.8683999999985,427.50190000000003,67.55035099999998,1.592844009399414
12,120,4,30,10,3782,4677.331799999999,468.4745,76.42712377777777,2.280482053756714
12,120,4,30,10,5410,3460.8835999999988,343.1262999999999,57.332560333333326,2.405690908432007
12,120,4,30,10,8428,4615.0169,465.9631999999999,60.9446356111111,1.846005916595459
12,120,4,30,10,7236,4639.6496,460.3378000000001,54.32013733333333,2.029048204421997
12,120,4,30,10,2085,3527.4496999999965,346.2945999999999,45.81613333333335,2.272426128387451
12,120,4,30,10,2139,4121.3841999999995,414.9669999999998,60.551289666666676,2.4706380367279053
12,120,4,30,10,6801,3931.4076999999984,399.1788,57.73273433333334,1.7294347286224365
12,120,4,30,10,6820,4604.180799999999,456.0152000000001,58.45541238888889,2.374803066253662
12,120,4,30,10,3830,4619.5743999999995,458.03,58.58526666666666,1.7032251358032227
12,120,4,30,10,7975,4693.637600000002,457.4263,56.175867666666655,1.5120110511779785
12,120,4,30,10,3469,4363.648899999999,433.47690000000006,54.96903633333333,2.2311947345733643
12,120,4,30,10,1454,3782.5955999999983,371.64629999999994,51.480802000000004,2.1458239555358887
12,120,4,30,10,2573,4012.2521999999985,386.4674,55.18166766666668,2.466405153274536
12,120,4,30,10,3931,3863.5495,398.92699999999996,55.21831302777777,2.352876901626587
12,120,4,30,10,5445,4320.211000000001,428.7037,58.72850099999999,2.107609987258911
12,120,4,30,10,5745,4329.532499999998,442.1916,73.71686856873616,1.8238940238952637
12,120,4,30,10,7167,4837.870300000003,487.1675999999998,86.59404444444444,2.411242961883545
12,120,4,30,10,7597,4882.3033,490.1234999999999,69.584901,2.4118521213531494
12,120,4,30,10,7005,3811.2514000000006,382.6088,79.65159190909091,1.7565577030181885
12,120,4,30,10,3239,4556.2099,440.7691,58.212881277777775,2.0176119804382324
12,120,4,30,10,4331,4232.189699999998,434.2132,70.97595300000003,1.9351921081542969
12,120,4,30,10,5960,4344.977700000002,433.5387000000001,58.77326766666666,1.8752140998840332
12,120,4,30,10,1284,4308.328999999999,419.7632000000001,78.68952168965518,1.959850788116455
12,120,4,30,10,2402,4617.924700000001,465.09989999999993,77.63927856249998,2.335339069366455
12,120,4,30,10,8146,4274.0297,439.7894999999999,70.83140433333334,2.281497001647949
12,120,4,30,10,1786,4655.7869,469.5841,64.50317769027778,1.8958971500396729
12,120,4,30,10,8911,4695.6543999999985,464.0232999999999,57.355567666666666,2.0579819679260254
12,120,4,30,10,7510,4181.481499999999,412.4543,72.06281000000001,1.7399919033050537
12,120,4,30,10,6556,4566.463699999997,452.07789999999994,81.81105306481481,2.0708019733428955
12,120,4,30,10,5726,4053.064500000003,398.6796999999999,57.82409294444446,1.997663974761963
12,120,4,30,10,2935,4253.4375,431.9106000000001,50.334068666666646,1.6577777862548828
12,120,4,30,10,7223,4503.0062,441.398,60.842802444444445,2.144534111022949
12,120,4,30,10,1405,3988.2698999999993,407.641,77.09900383611111,1.9570939540863037
12,120,4,30,10,6792,4221.7723000000005,430.617,56.7916,1.9312520027160645
12,120,4,30,10,7527,4784.177800000003,470.1321000000001,69.19368794444443,2.05469012260437
12,120,4,30,10,3965,4388.195700000001,431.6743,52.67536966666665,2.3307371139526367
12,120,4,30,10,9686,4170.1527,428.7978000000001,59.72753633333333,1.8834309577941895
