vnf_type_min,vnf_type_max,seed,HEFT,DHEFT,NHEFT,time_sec
1,15,9808,1971.3828000000003,68.22489999999999,15.010900999999997,4.93558669090271
1,15,5407,2115.1455999999985,71.50670000000001,17.771309883461875,3.3863658905029297
1,15,3782,2067.0074000000004,72.24379999999998,16.233012669367913,4.0121588706970215
1,15,5410,1618.611199999999,61.25459999999999,17.747726000000004,3.8191428184509277
1,15,8428,2100.2629999999963,75.38170000000002,15.385901999999996,3.9208099842071533
1,15,7236,2209.7703000000015,78.4163999999998,16.002162321715815,3.7564609050750732
1,15,2085,1608.9534999999983,65.98640000000007,17.004102,2.889777183532715
1,15,2139,1853.2252000000035,69.88449999999999,15.843201999999998,4.539670944213867
1,15,6801,1946.2690999999982,66.45540000000004,19.328502,4.4698240756988525
1,15,6820,2019.400800000001,74.86290000000005,15.792109403545359,4.660144805908203
1,15,3830,2135.3916000000036,70.31410000000001,19.187419892508146,3.7742159366607666
1,15,7975,1850.4494999999997,66.1317,17.267941669421493,3.4633138179779053
1,15,3469,2089.6546999999987,78.13979999999997,19.118448540983604,3.863577127456665
1,15,1454,1756.6372000000013,63.0934,15.446300999999997,3.99173903465271
1,15,2573,1670.7681999999998,61.891699999999986,14.993309572769954,4.038266181945801
1,15,3931,1758.7596999999996,65.70960000000001,12.990393323330833,4.3079516887664795
1,15,5445,1823.2291999999982,67.89530000000005,15.803701000000002,3.728998899459839
1,15,5745,1972.0838999999937,69.40980000000005,18.121802,3.7033889293670654
1,15,7167,2278.599200000006,80.14249999999998,19.274302000000006,4.909305810928345
1,15,7597,2168.492899999994,72.2323,18.028101000000003,4.655454874038696
1,15,7005,1862.4007000000063,63.39479999999999,15.292102,4.519013166427612
1,15,3239,1945.0913000000025,71.36149999999999,18.27512088873435,3.733096122741699
1,15,4331,1964.4151000000015,68.28920000000014,17.54130200000001,4.642704725265503
1,15,5960,1932.4274999999982,65.9793,15.75430733284241,4.926270961761475
1,15,1284,2104.198000000006,74.61430000000009,23.224402000000005,4.318643093109131
1,15,2402,2203.4641000000042,73.54370000000003,18.035253148367953,4.564103841781616
1,15,8146,2051.300799999999,69.41079999999998,15.097501000000005,4.443260908126831
1,15,1786,2109.6082999999953,72.6546,19.415237919899873,4.0655882358551025
1,15,8911,2074.249600000001,72.03579999999997,16.238501000000003,4.854583024978638
1,15,7510,1815.4075000000016,73.6444,20.329002,3.4986321926116943
1,15,6556,2149.287500000002,75.79620000000004,21.291802,3.7565629482269287
1,15,5726,1971.409100000004,66.62900000000003,17.86663601483679,4.307781219482422
1,15,2935,1879.4434999999903,63.04680000000001,14.75486172186837,5.187288045883179
1,15,7223,1997.5133999999994,69.63340000000001,17.664801999999998,4.050050735473633
1,15,1405,2059.0593000000013,72.10130000000001,16.690190570119803,4.29210901260376
