multiple_sfc_num,per_sfc_vnf_num,effective_total_vnf_num,vnf_type_min,vnf_type_max,vnf_image_size_min,vnf_image_size_max,repository_bw,seed,HEFT,DHEFT,NHEFT,time_sec
4,80,320,1,12,6000,12000,200,9095,14364.432999999966,533.0229999999998,82.04416850000005,1.8679118156433105
4,80,320,1,12,6000,12000,200,8562,14956.826599999978,567.9788999999995,100.42550100000001,2.301165819168091
4,80,320,1,12,6000,12000,200,9815,12030.943800000005,459.9453999999997,90.82062465591399,2.056281089782715
4,80,320,1,12,6000,12000,200,1466,14565.097099999997,547.6146999999996,90.69739291919193,2.123516798019409
4,80,320,1,12,6000,12000,200,8480,13863.592200000025,517.8208000000002,112.74255317391301,1.8697011470794678
4,80,320,1,12,6000,12000,200,3792,15702.700599999986,599.0564000000007,84.70925173000005,2.079110860824585
4,80,320,1,12,6000,12000,200,4697,13780.53159999998,524.1074000000002,93.35040099999998,1.918715000152588
4,80,320,1,12,6000,12000,200,1565,13940.134399999986,536.0309999999994,88.502401,1.9327218532562256
4,80,320,1,12,6000,12000,200,5891,15654.73780000002,589.8733000000003,154.14846777540103,1.7617988586425781
4,80,320,1,12,6000,12000,200,8308,14046.778900000025,528.0086999999995,108.280801,1.8696160316467285
4,80,320,1,12,6000,12000,200,4257,14142.129600000013,529.151,88.771226,2.0579147338867188
4,80,320,1,12,6000,12000,200,5733,14885.88199999997,555.2397,119.29980100000003,2.022027015686035
4,80,320,1,12,6000,12000,200,2946,13882.097300000029,525.8938,86.39840212749999,2.157238006591797
4,80,320,1,12,6000,12000,200,1292,14071.406099999998,530.4497000000002,71.196986,2.2047581672668457
4,80,320,1,12,6000,12000,200,5439,14510.077700000014,550.5223000000004,104.14604545454547,2.458282947540283
4,80,320,1,12,6000,12000,200,1714,14066.112000000003,527.7818999999998,102.27206999999997,2.123674154281616
4,80,320,1,12,6000,12000,200,9200,15113.945800000036,564.1997999999999,111.80911818181818,2.205941677093506
4,80,320,1,12,6000,12000,200,5804,14257.215300000014,530.0402,119.09614369005851,2.006253957748413
4,80,320,1,12,6000,12000,200,3154,13714.843400000052,518.4689000000002,141.51866318487396,1.8628671169281006
4,80,320,1,12,6000,12000,200,2195,14210.600400000007,531.3736000000001,108.00370099999999,1.9568891525268555
4,80,320,1,12,6000,12000,200,3042,14697.518799999985,565.3994000000006,77.00160281500003,2.1745920181274414
4,80,320,1,12,6000,12000,200,9808,14443.19370000002,543.8757000000004,104.02780099999995,2.2880911827087402
4,80,320,1,12,6000,12000,200,5407,14146.699400000023,543.0961000000005,102.48950099999998,1.690194845199585
4,80,320,1,12,6000,12000,200,3782,15231.223300000005,577.3770000000001,114.54310100000001,2.183194875717163
